stability_sample_id,xai_sample_id,test_index,relative_path,filename,subject_id,eye_state,gender,glasses,reflection,lighting,sensor,split,true_label,true_class,correct_mobilenetv3,prob_target_mobilenetv3,prob_open_mobilenetv3,correct_shufflenetv2,prob_target_shufflenetv2,prob_open_shufflenetv2,correct_efficientnet_b0,prob_target_efficientnet_b0,prob_open_efficientnet_b0,correct_deit_tiny,prob_target_deit_tiny,prob_open_deit_tiny,correct_repvit_m1_0,prob_target_repvit_m1_0,prob_open_repvit_m1_0,correct_efficientformer_l1,prob_target_efficientformer_l1,prob_open_efficientformer_l1,n_models_correct,common_correct_all_six,min_prob_target_all_six,mean_prob_target_all_six,max_prob_target_all_six,selection_hash,selection_rank_within_stratum,sampling_quota,image_sha256,stability_hash,stability_rank_within_stratum
XAI_STAB_001,XAI_0016,578,s0002/s0002_00579_0_0_0_0_0_01.png,s0002_00579_0_0_0_0_0_01.png,s0002,0,0,0,0,0,1,test,0,closed,True,0.999999999996201,3.798998442217094e-12,True,0.9999999285124943,7.148750569285768e-08,True,0.9999999998577457,1.4225431943515332e-10,True,0.999998738923864,1.2610761359610478e-06,True,0.99999948304486,5.1695514e-07,True,0.99999993747946,6.252054e-08,6,True,0.999998738923864,0.9999996813024374,0.999999999996201,03294df695d02bdcda0775a80ce292f8e0fb07784097d484df70a4949c813933,16,50,950fb2fc37906c0a73d9ba30d1f35b8d44a879f95c5a1f59887d7c2b439424d5,0699459bf264675ee2c221d654f3363a456c7dce518fb0b30a4a58cfa68690c3,1
XAI_STAB_002,XAI_0032,732,s0002/s0002_00733_0_0_0_0_0_01.png,s0002_00733_0_0_0_0_0_01.png,s0002,0,0,0,0,0,1,test,0,closed,True,0.9999999999999303,6.975156400818723e-14,True,0.9999999927833003,7.216699682288663e-09,True,0.9999999954390901,4.560909871997865e-09,True,0.9999998752366253,1.247633747425425e-07,True,0.99999990006672,9.993328e-08,True,0.99999997957357,2.042643e-08,6,True,0.9999998752366253,0.9999999571832059,0.9999999999999303,06c9aff53c0867078b81b495b93c4b1f0462a65ba0571102778c8076f32f011c,32,50,fcc962a284cf5a9881d5da375bb92f0b4440014d76f9957df306c656f35e6fbf,0a4cdb94d1e393a94a99dd0e1b4540a37c91500579070ec512f83aa2b233a4ab,2
XAI_STAB_003,XAI_0020,833,s0002/s0002_00834_0_0_0_0_0_01.png,s0002_00834_0_0_0_0_0_01.png,s0002,0,0,0,0,0,1,test,0,closed,True,0.9998340894089779,0.0001659105910221,True,0.9999990562661196,9.437338803763852e-07,True,0.9999998626157094,1.3738429061049828e-07,True,0.999998947472136,1.0525278639761382e-06,True,0.9999999982973795,1.7026205e-09,True,0.999998943017,1.056983e-06,6,True,0.9998340894089779,0.9999718161795538,0.9999999982973795,03f064b8ff549dbdb22d59578c9b7e743a28c01772e02a0cb1dcbdb5a80c7082,20,50,552aaa80f0c9a489a3a4a49a2fe4d8effe1d99ab5e921f47a9553c4d8e4382a4,1436dc969b977cd98162b3c5c30319d14e550ea0a525ed06f7cf91a9c0b06ed4,3
XAI_STAB_004,XAI_0048,861,s0002/s0002_00862_0_0_0_0_0_01.png,s0002_00862_0_0_0_0_0_01.png,s0002,0,0,0,0,0,1,test,0,closed,True,0.9999952314237817,4.768576218339149e-06,True,0.9997570561536123,0.0002429438463877,True,0.9998675403476228,0.0001324596523772,True,0.9999989153363913,1.0846636087080697e-06,True,0.99999987347549,1.2652451e-07,True,0.999999505048,4.94952e-07,6,True,0.9997570561536123,0.9999363536308162,0.99999987347549,0b472bf88827a1a13eb6599e7e1d9a051d68efde01b9eed408c8280ff3e0061a,48,50,8513fae9c861a21e84ccd8600ab5982623f2ea17a07d59a7dab6ae3eb698bc3f,1e1ba8a48c3c88d7052bd7f0032fdf59edb7e648eae76dbe9ad32f95891f8d40,4
XAI_STAB_005,XAI_0024,382,s0002/s0002_00383_0_0_0_0_1_01.png,s0002_00383_0_0_0_0_1_01.png,s0002,0,0,0,0,1,1,test,0,closed,True,0.9996493936341722,0.0003506063658278,True,0.9999988147113754,1.185288624583336e-06,True,0.9999989139307672,1.0860692327696595e-06,True,0.9999965705819704,3.429418029554654e-06,True,0.99999927182506,7.2817494e-07,True,0.9999984765728,1.5234272e-06,6,True,0.9996493936341722,0.9999402402093575,0.99999927182506,04c31b39b0b895f0aa022eae68c2005733f3cd68b57556d3a7ca8d0e9976a86a,24,50,01acee9bbcb45cd157c333a0668f8ddbfebc45b998fd2bd0826d61b52482101f,1e8fa5709db1d27d32845e56f904334fce9393fdb008565baf13bd4a4991ad67,5
XAI_STAB_006,XAI_0011,647,s0002/s0002_00648_0_0_0_0_0_01.png,s0002_00648_0_0_0_0_0_01.png,s0002,0,0,0,0,0,1,test,0,closed,True,0.9999999999993259,6.740971713117827e-13,True,0.9999999968788489,3.121151115337284e-09,True,0.9999999997494959,2.505040896938482e-10,True,0.9999985870016417,1.4129983583188732e-06,True,0.9999999998272486,1.7275134e-10,True,0.9999998814522,1.185478e-07,6,True,0.9999985870016417,0.9999997441514602,0.9999999999993259,01a034aa3686a3ab7342c84cf69954fc23136ae78433ddabbfac67dc71109ec4,11,50,64e1767dd361cdbc69c68c7040c779882776a16b05ee086f29a39c9bd552c50e,234d7b210381c383a85e8b4162e74817a1302ff5d4927a2008bde4d88dacbc3a,6
XAI_STAB_007,XAI_0002,906,s0002/s0002_00907_0_0_0_0_0_01.png,s0002_00907_0_0_0_0_0_01.png,s0002,0,0,0,0,0,1,test,0,closed,True,0.9999999999704073,2.959262349055969e-11,True,0.9999999280899203,7.191007966866891e-08,True,0.9999999962398518,3.760148192810675e-09,True,0.9999997454618779,2.545381221352727e-07,True,0.999999964388614,3.5611386e-08,True,0.99999992694468,7.305532e-08,6,True,0.9999997454618779,0.9999999268492252,0.9999999999704073,004258c556ee5adec66b2e1de5b9f7ec411a81aa8c1b125ee060d91e282ddb34,2,50,714fa24c45845b8bf195584f4444b3d39c696f2a7b4bc8f074a3871061c519de,24efcbe29a6e7d21c141a43c3ea552088474c8b5af25e13d57c6492e67e13a3c,7
XAI_STAB_008,XAI_0061,1278,s0008/s0008_00165_0_1_0_2_0_01.png,s0008_00165_0_1_0_2_0_01.png,s0008,0,0,1,2,0,1,test,0,closed,True,0.9999999999986989,1.3011122127620789e-12,True,0.9999979198546498,2.080145350191742e-06,True,0.9999999909291164,9.070883599804349e-09,True,0.9999990189115806,9.810884193939271e-07,True,0.9999999999566626,4.333748e-11,True,0.9999967576587,3.2423413e-06,6,True,0.9999967576587,0.9999989478849013,0.9999999999986989,04549db13799a6047e882c85bc9754563373ef696e21a102a8791cce6b30f8e4,11,50,8cad8e084897592834fa3783184a8d07cc11bceaedf8f9a4627003d67796b66d,0faf1e1bb705fb20c71cfd0ea339935a6136bb1e27e222786436c8e726e3c01d,1
XAI_STAB_009,XAI_0063,1231,s0008/s0008_00118_0_1_0_1_0_01.png,s0008_00118_0_1_0_1_0_01.png,s0008,0,0,1,1,0,1,test,0,closed,True,0.9999999996776229,3.2237715275051926e-10,True,0.9999998082259083,1.9177409171788892e-07,True,0.9999978789733177,2.1210266822890844e-06,True,0.9999989831516132,1.0168483868255862e-06,True,0.9999992133083,7.866917e-07,True,0.999973173499,2.6826501e-05,6,True,0.999973173499,0.9999948428059603,0.9999999996776229,0526ae992f06d54d5238993adb00bee1060878eef7fe8f0088f31375824fa233,13,50,2903e192457cd436740c01be9e482721128702d14d408f6a20d1912d48aa09f9,160e9b9ec0976ab6b06099330e85f1992690ae529b2623ccaeced0f48e3def65,2
XAI_STAB_010,XAI_0096,1121,s0008/s0008_00008_0_1_0_0_0_01.png,s0008_00008_0_1_0_0_0_01.png,s0008,0,0,1,0,0,1,test,0,closed,True,0.9999999968432138,3.156786165803282e-09,True,0.9999999999008289,9.917115045832148e-11,True,0.999998725398882,1.2746011179842751e-06,True,0.9999992708890773,7.291109227480774e-07,True,0.99999306929,6.93071e-06,True,0.99999780415,2.19585e-06,6,True,0.99999306929,0.9999981444120003,0.9999999999008289,111d21e679797aaea8b5022a6996ab65455bde281325c1a2ded7e815951e4ddc,46,50,f7bfbc7fdb9c8403a7bee19ec4479317027887492544f461985067d39636b4d6,1917e895eb6f2cab8c1389bb0e58f2140f11ccf771468ffc8ff2a2a027d00488,3
