xai_sample_id,test_index,relative_path,filename,subject_id,eye_state,gender,glasses,reflection,lighting,sensor,split,true_label,true_class,correct_mobilenetv3,prob_target_mobilenetv3,prob_open_mobilenetv3,correct_shufflenetv2,prob_target_shufflenetv2,prob_open_shufflenetv2,correct_efficientnet_b0,prob_target_efficientnet_b0,prob_open_efficientnet_b0,correct_deit_tiny,prob_target_deit_tiny,prob_open_deit_tiny,correct_repvit_m1_0,prob_target_repvit_m1_0,prob_open_repvit_m1_0,correct_efficientformer_l1,prob_target_efficientformer_l1,prob_open_efficientformer_l1,n_models_correct,common_correct_all_six,min_prob_target_all_six,mean_prob_target_all_six,max_prob_target_all_six,selection_hash,selection_rank_within_stratum,sampling_quota,image_sha256
XAI_0001,846,s0002/s0002_00847_0_0_0_0_0_01.png,s0002_00847_0_0_0_0_0_01.png,s0002,0,0,0,0,0,1,test,0,closed,True,0.9999999710183705,2.898162954068084e-08,True,0.9999993412855019,6.587144980585435e-07,True,0.9999999943281095,5.6718905128150254e-09,True,0.9999996004030436,3.995969564130064e-07,True,0.999999960699203,3.9300797e-08,True,0.99999956641122,4.3358878e-07,6,True,0.9999993412855019,0.9999997390242413,0.9999999943281095,0039a52b62cfb88215d3e59060578c68774c80b95bbfefe50aacf12148bd19c7,1,50,99ce8e3caac78ab791b3d3dc4047c6e12b64b6e10ee1544511bd646fb0e33d57
XAI_0002,906,s0002/s0002_00907_0_0_0_0_0_01.png,s0002_00907_0_0_0_0_0_01.png,s0002,0,0,0,0,0,1,test,0,closed,True,0.9999999999704073,2.959262349055969e-11,True,0.9999999280899203,7.191007966866891e-08,True,0.9999999962398518,3.760148192810675e-09,True,0.9999997454618779,2.545381221352727e-07,True,0.999999964388614,3.5611386e-08,True,0.99999992694468,7.305532e-08,6,True,0.9999997454618779,0.9999999268492252,0.9999999999704073,004258c556ee5adec66b2e1de5b9f7ec411a81aa8c1b125ee060d91e282ddb34,2,50,714fa24c45845b8bf195584f4444b3d39c696f2a7b4bc8f074a3871061c519de
XAI_0003,633,s0002/s0002_00634_0_0_0_0_0_01.png,s0002_00634_0_0_0_0_0_01.png,s0002,0,0,0,0,0,1,test,0,closed,True,0.9999999999989851,1.0148120408240424e-12,True,0.9999999907003767,9.299623293657078e-09,True,0.9999999996167651,3.8323488826819125e-10,True,0.9999993866794625,6.133205374680983e-07,True,0.99999996834542,3.165458e-08,True,0.9999985527262,1.4472738e-06,6,True,0.9999985527262,0.9999996496778683,0.9999999999989851,0051e6fb7de3116a8a577f481ae5a1c6ccf25d10f48843456adb706ab8d985f7,3,50,67fcd6f011622d20f032c702248efaaefaeda22f8b20fd3a76ffedf211a1685c
XAI_0004,938,s0002/s0002_00939_0_0_0_0_0_01.png,s0002_00939_0_0_0_0_0_01.png,s0002,0,0,0,0,0,1,test,0,closed,True,0.9999999999999907,9.28858701651318e-15,True,0.9999936575841275,6.342415872495621e-06,True,0.9999999997643835,2.3561649853398587e-10,True,0.9999998327839563,1.672160436783088e-07,True,0.99999996944745,3.055255e-08,True,0.9999999015357,9.84643e-08,6,True,0.9999936575841275,0.9999988935192681,0.9999999999999907,005a99b1a2dab61c4c1129d15a48ee3f813112feb7b30de627fdd79f9827eea3,4,50,2fb318b3d21b880ede89dfb87fa83dd3af2cfa4598b9c8ce32a35800941e6e8b
XAI_0005,691,s0002/s0002_00692_0_0_0_0_0_01.png,s0002_00692_0_0_0_0_0_01.png,s0002,0,0,0,0,0,1,test,0,closed,True,0.9999865443869567,1.345561304333387e-05,True,0.9999998161448076,1.8385519240382567e-07,True,0.9999974895144987,2.510485501261428e-06,True,0.9999994879466385,5.120533614899614e-07,True,0.99999905567915,9.4432085e-07,True,0.999997749634,2.250366e-06,6,True,0.9999865443869567,0.9999966905510086,0.9999998161448076,007bb18be5dae7f3eceef6b8d874539939e863a0d45c77ffff3a274eb85fc8d8,5,50,4bd07e526d0984d12b62e61590643c4f4c7a7f819dae8f129778667371e05ac6
XAI_0006,126,s0002/s0002_00127_0_0_0_0_0_01.png,s0002_00127_0_0_0_0_0_01.png,s0002,0,0,0,0,0,1,test,0,closed,True,0.9999999970460578,2.953942201955328e-09,True,0.9999985757456216,1.4242543784348527e-06,True,0.9999958724029057,4.127597094338853e-06,True,0.9999980341622177,1.965837782336166e-06,True,0.99999981153297,1.8846703e-07,True,0.9999990215279,9.784721e-07,6,True,0.9999958724029057,0.9999985520696123,0.9999999970460578,0088507b62e2c9b08f9d6efaec5cca23025f131b536c8e02129e4df01b02ed62,6,50,c00da7689b61d1b047869fa76cdf6ce7ee1a18da517e754816eb17848dadd686
XAI_0007,401,s0002/s0002_00402_0_0_0_0_1_01.png,s0002_00402_0_0_0_0_1_01.png,s0002,0,0,0,0,1,1,test,0,closed,True,0.999999994642617,5.357382981685532e-09,True,0.9999998604562279,1.3954377209302038e-07,True,0.999999861289723,1.3871027704226438e-07,True,0.9999979030922077,2.096907792292768e-06,True,0.9999981420578,1.8579422e-06,True,0.999999973226162,2.6773838e-08,6,True,0.9999979030922077,0.9999992891274562,0.999999994642617,011d1f6866b3cd544744183540d51211a9489ae720012449b37bdce93b3e0237,7,50,db1e1b401e632329054ae2d0f2b04b3d637ff3d32dbefa9faf71690c3fffa634
XAI_0008,596,s0002/s0002_00597_0_0_0_0_0_01.png,s0002_00597_0_0_0_0_0_01.png,s0002,0,0,0,0,0,1,test,0,closed,True,0.9999999999999496,5.039871785964684e-14,True,0.9999931834649942,6.816535005782498e-06,True,0.9999999268437278,7.315627215120912e-08,True,0.9999989419529811,1.0580470188870097e-06,True,0.99999970539722,2.9460278e-07,True,0.9999925199368,7.4800632e-06,6,True,0.9999925199368,0.9999973795992787,0.9999999999999496,0142ecd08a3c79644e7b4dc4a53278040fed952db1e5a653267087c938b24ccd,8,50,d49459d4bc74acdb3311da6557f26dc21ab8e535ac89e4936d0e65b6a652fc85
XAI_0009,443,s0002/s0002_00444_0_0_0_0_0_01.png,s0002_00444_0_0_0_0_0_01.png,s0002,0,0,0,0,0,1,test,0,closed,True,0.9999996854787128,3.1452128723685746e-07,True,0.9999999615660116,3.843398843628165e-08,True,0.9999999993488846,6.511153838317796e-10,True,0.9999973334959122,2.6665040877560382e-06,True,0.999999894885796,1.05114204e-07,True,0.9999999982023876,1.7976124e-09,6,True,0.9999973334959122,0.9999994788296173,0.9999999993488846,0177eb365877607110e62272eaec02200d54c78eb157120b6320f434d2966dd7,9,50,cea1ddb14abbe16b4531fc98f62c6c509e748465fd3eacf20c47d0185c7e7b0a
XAI_0010,8,s0002/s0002_00009_0_0_0_0_0_01.png,s0002_00009_0_0_0_0_0_01.png,s0002,0,0,0,0,0,1,test,0,closed,True,0.9981737857451664,0.0018262142548337,True,0.999820652010385,0.000179347989615,True,0.9993862427654677,0.0006137572345323,True,0.9996256728773006,0.0003743271226994,True,0.9999978525505,2.1474495e-06,True,0.9999941721608,5.8278392e-06,6,True,0.9981737857451664,0.9994997296849366,0.9999978525505,0192a5653ad2bdc3b2339ae7a640391ffd4b596fc1d45dc00b8b14097757923b,10,50,71d0171b493f403acbdd366c8a242743d3c1803b676c45b5ad4380ce31c0bb7a
